English,Norsk
one,en
two,to
three,tre
four,fire
five,fem
six,seks
seven,sju
eight,åtte
nine,ni
ten,ti
eleven,elleve
twelve,tolv
thirteen,tretten
fourteen,fjorten
fifteen,femten
sixteen,seksten
seventeen,sytten
eighteen,atten
nineteen,nitten
twenty,tjue
thirty,tretti
fourty,førti
fifty,femti
sixty,seksti
seventy,sytti
eighty,åtti
ninety,nitti
one hundred,hundre
one thousand,ett tusen
one million,en million
one billion,en milliard
what,hva
who,hvem
where,hvor
how,hvordan
why,hvorfor
when,når
which,hvilken
how much,hvor mye
how many,hvor mange
how long,hvor lenge
where from,hvorfra
what kind of,hva slags
breakfast,frokost
lunch,lunsj
dinner,middag
evening meal,kveldsmat
monday,mondag
tuesday,tirsdag
wednesday,onsdag
thursday,torsdag
friday,fredag
saturday,lørdag
sunday,sondag
January,januar
February,februar
March,mars
April,april
May,mai
June,juni
July,juli
August,august
September,september
October,oktober
November,november
December,desember
month,måned
last month,forrige måned
monthly,månedlig
year,år (n)
this year,i år
last year,i fjor
yearly,årlig
Winter,vinter
Spring,vår
Summer,sommer
Fall,høst
in (the) winter,om vinteren
in (the) spring,om våren
in (the) summer,om sommeren
in (the) fall,om høsten
north,nord
south,syd
east,øst
west,vest
northeast,nordøst
northwest,nordvest
southeast,sydøst
southwest,sydvest
to the right,til høyre
to the left,til venstre
straight ahead,rett fram / frem
orange,oransje
pink,rosa
purple,lilla
blue,"blå, blått, blå"
yellow,"gul, gult, gule"
red,"rød, rødt, røde"
black,"svart, svart, svarte"
brown,"brun, brunt, brune"
gray,"grå, grått, grå"
white,"hvit, hvitt, hvite"
green,"grønn, grønt, grønne"
What time is it?,Hva er klokken?
It is 2 O'Clock.,Klokken er to.
twenty past six,tjue over seks
half past 3,halv fire
quarter past 4,kvart over fire
quarter to 5,kvart på fem
10 past 11,ti over elleve
20 to 7,tjue på sju
noon,middag
midnight,midnatt
in the morning,om morgenen
in the evening,om kvelden
It's exactly...,Den er nøyaktig...
About/around 8.,omtrent åtte
now,nå
early,tidlig
earlier,tidligere
soon,snart
late,sent
later,senere
in 10 minutes,om ti minutter
in 15 minutes,om et kvarter
in a half hour,om en halvtime
in an hour,om en time
right now,akkurat nå
at once,med en gang
immediately,straks
At 8.,klokken åtte
How's the weather?,Hvordan er været?
It's cold,Det er kaldt
It's warm,Det er varmt
It's beautiful,Det er pent
It's bad,Det er dårlig
It's clearing,Det lysner
It's icy,Det er isete
It's windy,Det blåser
It's cloudy,Det er overskyet
It's humid/muggy,Det er fuktig
What temperature is it?,Hvor mange grader er det?
It's foggy,Det er tåke
The fog is lifting,Tåken letner
It's snowing,Det snør
It's raining,Det regner
It's going to storm,Det blir storm
There's thunder,Det tordner
There's lightning,Det lyner
It's freezing (ice-cold),Det er iskaldt
It's hailing,Det hagler
parents,foreldre
mother,mor
father,far
son,sønn
daughter,datter
brother,bror
sister,søster
grandfather,bestefar
grandmother,bestemor
grandson,barnebarn
granddaughter,barnebarn
cousin (male),fetter
cousin (female),kusine
niece,niese
nephew,nevø
uncle,onkel
aunt,tante
boy,gutt
girl,"jente, pike"
child / baby,barn
adult,voksen
man,mann
woman,kvinne
friend (male),venn
friend (female),venninne
I am,jeg er
you are,du er
he is,han er
she is,hun er
it is,den er
it is,det er
one is,man er
we are,vi er
you are,dere er
they are,de er
I was,jeg var
you were,du var
he was,han var
she was,hun var
it was,den var
it was,det var
one was,man var
we were,vi var
you were,dere var
they were,de var
I have,jeg har
you have,du har
he has,han har
she has,hun har
it has,den har
it has,det har
one has,man har
we have,vi har
you have,dere har
they have,de har
I had,jeg hadde
you had,du hadde
he had,han hadde
she had,hun hadde
it had,den hadde
it had,det hadde
one had,man hadde
we had,vi hadde
you had,dere hadde
they had,de hadde
sometimes,noen ganger / av og til
always,alltid
never,aldri
often,ofte
usually,vanligvis
now,nå
and,og
but,men
or,eller
very,veldig / svært
here,her
there,der
with,med
each other,hverandre
already,allerede
perhaps,kanskje
both,begge
some,noe(n)
again,igjen
between,mellom
"a lot, many",mye / mange
of course,selvfølgelig / såklart
a little,litt
not in the least/slightest,ikke i det hele tatt
is simply not,slettes ikke
none whatsoever,overhodet ikke
almost,nesten
really?,virkelig?
it is,det er
there is/are,det finnes